# Time;position [m]
122.00;15.09
123.00;17.70
124.00;21.07
125.00;25.43
126.00;30.63
127.00;36.65
128.00;43.71
129.00;51.69
130.00;60.28
131.00;70.07
132.00;80.74
133.00;92.18
134.00;104.43
135.00;117.72
136.00;131.54
137.00;145.35
138.00;159.14
139.00;172.87
140.00;186.80
141.00;200.30
142.00;214.10
143.00;227.62
144.00;241.10
145.00;254.55
146.00;268.14
147.00;282.06
148.00;295.71
149.00;309.42
150.00;322.98
151.00;336.54
152.00;350.07
153.00;364.04
154.00;377.45
155.00;391.22
156.00;4.09
157.00;13.18
158.00;18.51
159.00;19.83
160.00;19.94
161.00;19.99
162.00;19.99
163.00;19.99
164.00;19.99
165.00;19.99
166.00;19.99
167.00;19.99
168.00;19.99
169.00;19.99
170.00;19.99
171.00;19.99
172.00;19.99
173.00;19.99
174.00;19.99
175.00;19.99
176.00;19.99
177.00;19.99
178.00;19.99
179.00;19.99
180.00;19.99
181.00;19.99
182.00;19.99
183.00;19.99
184.00;19.99
185.00;19.99
186.00;19.99
187.00;19.99
188.00;19.99
189.00;19.99
190.00;19.99
191.00;19.99
192.00;19.99
193.00;19.99
194.00;19.99
195.00;19.99
196.00;19.99
197.00;19.99
198.00;19.99
199.00;19.99
200.00;19.99
201.00;19.99
202.00;19.99
203.00;19.99
204.00;19.99
205.00;19.99
206.00;19.99
207.00;19.99
208.00;19.99
209.00;19.99
210.00;19.99
211.00;20.71
212.00;22.18
213.00;24.45
214.00;27.76
215.00;32.07
216.00;37.53
217.00;43.62
218.00;50.37
219.00;58.00
220.00;66.33
221.00;75.80
222.00;85.98
223.00;97.03
224.00;109.23
225.00;122.52
226.00;136.15
227.00;149.64
228.00;163.57
229.00;177.44
230.00;191.14
231.00;3.79
232.00;12.96
233.00;18.43
234.00;19.91
235.00;19.97
236.00;19.97
237.00;19.97
238.00;19.97
239.00;19.97
240.00;21.07
241.00;22.84
242.00;25.78
243.00;29.85
244.00;35.07
245.00;40.92
246.00;47.79
247.00;55.29
248.00;63.81
249.00;73.00
250.00;82.86
251.00;93.37
252.00;104.51
253.00;116.52
254.00;129.17
255.00;142.62
256.00;156.59
257.00;170.10
258.00;183.91
259.00;197.53
260.00;211.51
261.00;225.47
262.00;239.36
263.00;253.22
264.00;267.09
265.00;281.04
266.00;295.02
267.00;308.92
268.00;322.80
269.00;336.59
270.00;350.39
271.00;364.06
272.00;377.64
273.00;391.54
274.00;4.14
275.00;12.93
276.00;18.07
277.00;19.81
278.00;19.95
279.00;19.99
280.00;19.99
281.00;19.99
282.00;19.99
283.00;19.99
284.00;19.99
285.00;19.99
286.00;19.99
287.00;19.99
288.00;19.99
289.00;19.99
290.00;19.99
291.00;19.99
292.00;19.99
293.00;19.99
294.00;19.99
295.00;19.99
296.00;19.99
297.00;19.99
298.00;19.99
299.00;19.99
300.00;19.99
301.00;19.99
302.00;19.99
303.00;19.99
304.00;19.99
305.00;19.99
306.00;19.99
307.00;19.99
308.00;19.99
309.00;19.99
310.00;19.99
311.00;19.99
312.00;19.99
313.00;19.99
314.00;19.99
315.00;19.99
316.00;19.99
317.00;19.99
318.00;19.99
319.00;19.99
320.00;19.99
321.00;19.99
322.00;19.99
323.00;19.99
324.00;19.99
325.00;19.99
326.00;19.99
327.00;19.99
328.00;19.99
329.00;19.99
330.00;19.99
331.00;19.99
332.00;19.99
333.00;19.99
334.00;19.99
335.00;19.99
336.00;19.99
337.00;19.99
338.00;19.99
339.00;19.99
340.00;19.99
341.00;19.99
342.00;19.99
343.00;19.99
344.00;19.99
345.00;19.99
346.00;19.99
347.00;19.99
348.00;19.99
349.00;20.83
350.00;22.34
351.00;24.72
352.00;27.72
353.00;31.32
354.00;35.95
355.00;41.23
356.00;47.59
357.00;54.70
358.00;62.47
359.00;71.30
360.00;80.98
361.00;91.47
362.00;102.75
363.00;114.88
364.00;127.74
365.00;141.30
366.00;154.98
367.00;168.71
368.00;182.39
369.00;195.81
370.00;209.45
371.00;223.11
372.00;236.68
373.00;250.23
374.00;263.73
375.00;277.45
376.00;288.86
377.00;296.26
378.00;299.81
379.00;299.97
380.00;299.99
381.00;299.99
382.00;299.99
383.00;299.99
384.00;299.99
